id,Тип,Подтверждено риэлтором,Количество розеток,Долгота,Количество зеркал,Цвет стен,Ремонтируется,Перепродажа,Готово к сдаче,Кол-во комнат,Площадь (фут²),Адрес,Широта,Опубликовано,Цена
24,BHK,0,3,13.116079999999998,3,Синий,0,1,1,3,1249.056604,"BEML Layout,Bangalore",78.13698000000001,Dealer,66.2
25,BHK,0,7,12.907374,2,Голубой,0,1,1,3,1250.0,"Bommanahalli,Bangalore",77.625811,Dealer,42.0
26,BHK,1,1,28.408144,2,Розовый,0,0,1,3,1888.372093,"Sector-84 Gurgaon,Gurgaon",76.963756,Dealer,81.2
27,BHK,0,1,30.74,3,Зеленый,0,1,1,3,1200.225925,"Kharar,Mohali",76.65,Owner,42.5
28,BHK,0,1,26.4642,2,Серый,1,1,0,3,1600.0,"Taru Chhaya Nagar,Jaipur",75.2038,Owner,90.0
29,BHK,0,0,30.65,1,Оранжевый,0,1,1,2,805.9132093,"Zirakpur,Mohali",76.82,Owner,16.9
30,BHK,0,6,22.5922,0,Серый,0,1,1,3,1736.613603,"New Town,Kolkata",88.484911,Dealer,120.0
31,BHK,0,1,12.928575,2,Коричневый,0,1,1,2,1028.229961,"Roopena Agrahara,Bangalore",77.58572099999999,Owner,49.9
32,BHK,1,4,19.255098,2,Белый,0,1,1,1,565.0143137,"Hiranandani Estate,Lalitpur",72.9815265,Dealer,75.0
33,BHK,0,1,21.0,2,Синий,0,1,1,2,750.1071582000001,"Gomti Nagar Extension,Lucknow",77.0,Owner,35.0
34,BHK,1,1,18.669919,2,Золотистый,0,1,1,2,875.1406073999999,"Moshi,Pune",73.853723,Dealer,38.9
35,BHK,0,6,28.579004,0,Белый,0,1,1,3,1464.128843,"Noida Extension,Noida",77.431173,Owner,50.0
36,BHK,0,1,22.5,2,Серый,1,1,0,2,694.0588562,"Tollygunge,Kolkata",88.35,Dealer,62.5
37,BHK,1,7,13.0318,2,Голубой,0,1,1,2,1137.065876,"Horamavu Agara,Bangalore",77.6583,Dealer,92.0
38,BHK,0,4,9.587839,2,Коричневый,0,1,1,3,1646.303583,"Kanjikuzhi,Kottayam",76.543091,Owner,79.5
39,BHK,1,4,13.0318,3,Зеленый,0,1,1,3,1685.866817,"Horamavu Agara,Bangalore",77.6583,Dealer,120.0
40,BHK,0,4,15.488915,0,Золотистый,0,0,1,2,1763.357028,"Bainguinim,Goa",73.910061,Builder,76.9
41,BHK,0,0,24.69028,1,Желтый,0,1,1,1,430.0335426,"Ghodbunder Road,Lalitpur",78.41889,Dealer,50.0
42,BHK,1,4,19.038205,1,Белый,0,1,1,5,2899.9064550000003,"Kharghar,Maharashtra",73.06612,Dealer,310.0
43,BHK,0,0,26.832353,2,Оранжевый,0,1,1,2,1155.042203,"Jagatpura,Jaipur",75.841749,Dealer,26.0
44,BHK,0,0,28.415573,1,Серебристый,0,1,1,3,2174.102096,"sector-58 Gurgaon,Gurgaon",77.111387,Dealer,250.0
45,BHK,0,5,12.973432,3,Оранжевый,0,1,1,2,1242.236025,"Vignana Nagar,Bangalore",77.68242,Owner,50.0
46,BHK,0,0,13.0306,1,Золотистый,0,1,1,3,1934.576152,"Hennur Road,Bangalore",77.6485,Dealer,110.0
47,BHK,0,4,18.433704,3,Синий,0,1,1,2,850.0772798,"Katraj Kondhwa Road,Pune",73.853275,Owner,22.0
48,BHK,0,7,23.166495,0,Синий,0,1,1,2,1160.862355,"Kudasan,Gandhinagar",72.63429000000001,Dealer,42.0
49,BHK,0,1,20.098413,1,Серебристый,0,1,1,3,1549.96353,"Suraksha Nagar,Bangalore",79.10786,Dealer,85.0
50,BHK,0,7,12.928575,0,Розовый,0,1,1,3,3199.461143,"Jakkur,Bangalore",77.58572099999999,Dealer,380.0
51,BHK,0,1,28.57,1,Коричневый,0,1,1,2,950.0351865,"Chhalera,Noida",77.32,Dealer,27.0
52,BHK,0,7,12.8706,3,Зеленый,0,1,1,3,1320.211234,"Begur,Bangalore",77.6279,Owner,55.0
53,BHK,0,4,16.876947,1,Фиолетовый,0,1,1,2,1020.176831,"Nagala Park,Kolhapur",74.298362,Dealer,45.0
54,BHK,0,2,18.615805,0,Оранжевый,0,1,1,2,986.0543739,"Thergaon,Pune",73.775025,Owner,70.0
55,BHK,1,5,13.11389,1,Красный,0,1,1,2,1120.1236,"Yelahanka,Bangalore",77.59833,Owner,58.0
56,BHK,0,2,12.905368,2,Золотистый,1,1,0,2,900.0,"5th Phase JP Nagar,Bangalore",77.580403,Owner,40.5
57,BHK,0,0,23.35556,1,Синий,0,1,1,3,1811.196487,"Kanke,Ranchi",85.33471999999999,Owner,99.0
58,BHK,0,1,28.682219,1,Фиолетовый,0,1,1,3,1400.098831,"Raj Nagar,Ghaziabad",77.445819,Owner,85.0
59,BHK,0,3,12.86,2,Серый,0,1,1,3,1600.196947,"Sarjapur,Bangalore",77.786,Owner,65.0
60,BHK,0,6,22.50686,2,Зеленый,0,1,1,2,750.0914746000001,"BataNagar,Kolkata",88.223965,Owner,20.5
61,BHK,0,7,22.311323,0,Голубой,0,1,1,3,2050.708427,"Sevasi,Vadodara",73.121275,Dealer,55.0
62,BHK,0,7,13.0306,1,Красный,0,1,1,2,1288.102262,"Hennur Road,Bangalore",77.6485,Owner,78.6
63,BHK,0,5,22.636865,1,Желтый,0,1,1,2,1080.125687,"Raigachi,Kolkata",88.471515,Dealer,55.0
64,BHK,0,4,12.923762,1,Фиолетовый,0,1,1,3,1450.0,"Gunjur,Bangalore",77.736688,Owner,58.0
65,BHK,0,1,19.033956,1,Фиолетовый,0,1,1,2,1115.030151,"Sector 10 Kharghar,Mumbai",73.075342,Dealer,98.0
66,BHK,1,7,18.96,3,Коричневый,1,0,0,2,644.2468754,"Ghodbunder Road,Maharashtra",72.82,Dealer,100.0
67,BHK,0,5,12.96991,2,Серебристый,0,1,1,2,1170.005318,"Akshaya Nagar,Bangalore",77.59796,Dealer,66.0
68,BHK,0,2,21.143354,0,Синий,0,1,1,3,1750.164078,"Vesu,Surat",72.770931,Dealer,80.0
69,BHK,1,5,19.0167,0,Голубой,0,1,1,3,1728.052045,"Worli,Maharashtra",72.8167,Dealer,510.0
70,BHK,0,1,24.69028,3,Серый,0,1,1,2,1050.153902,"Swawlambi Nagar,Lalitpur",78.41889,Dealer,58.0
71,BHK,0,0,26.173068,3,Розовый,0,1,1,2,700.0474608,"Pal Road,Jodhpur",73.26135,Owner,29.5
72,BHK,0,0,19.206252,2,Синий,0,1,1,2,888.3361464,"Samata Nagar,Lalitpur",72.962035,Dealer,100.0
73,BHK,0,3,26.86056,0,Красный,1,1,0,3,1138.554217,"Faizabad Road,Lucknow",80.91583,Dealer,18.9
74,BHK,0,4,12.9223,3,Бежевый,0,1,1,3,1275.167785,"Banashankari Stage III,Bangalore",77.5532,Owner,57.0
75,BHK,0,7,23.692053,0,Зеленый,0,1,1,2,850.2598016000001,"Rabindra Nagar,Asansol",86.944846,Owner,18.0
76,BHK,0,1,17.829244,1,Розовый,0,1,1,2,950.0,"Kommadi,Visakhapatnam",83.334838,Dealer,28.5
77,BHK,1,4,28.577673,0,Красный,0,1,1,3,1624.69537,"Sector-74 Noida,Noida",77.389781,Dealer,80.0
78,BHK,0,4,30.594843,1,Синий,0,1,1,4,3013.69863,"Dera Bassi,Chandigarh",76.84983000000001,Dealer,90.2
79,BHK,1,1,28.365512,0,Голубой,1,1,0,1,310.2453102,"Sector 75 Faridabad,Faridabad",77.34630600000001,Dealer,12.9
80,BHK,0,2,13.036179,0,Серый,0,1,1,3,1464.00976,"Kanaka Nagar,Bangalore",77.679598,Owner,72.0
81,BHK,0,3,12.96991,3,Серый,1,1,0,2,1000.0,"Yemlur,Bangalore",77.59796,Dealer,93.5
82,BHK,0,3,15.292135,2,Серебристый,0,1,1,2,1205.657315,"Fatorda,Margao",73.9621265,Owner,52.0
83,BHK,0,2,22.403867,0,Бежевый,1,1,0,2,800.0,"Garia,Kolkata",88.47000600000001,Dealer,40.0
84,BHK,0,2,9.930471,3,Белый,0,1,1,2,1000.0,"Edapally,Kochi",76.271273,Owner,34.0
85,BHK,0,4,9.994,0,Желтый,0,1,1,4,3285.758291,"Kaloor,Kochi",76.292,Dealer,320.0
86,BHK,1,6,19.255098,1,Желтый,0,1,1,2,1000.0,"Hiranandani Estate,Mumbai",72.9815265,Dealer,98.0
87,BHK,0,5,18.664297,3,Золотистый,0,1,1,1,605.0338819,"Tukai Nagar,Pune",73.734374,Dealer,25.0
88,BHK,1,2,18.973908,0,Золотистый,0,1,1,2,1185.164529,"Sector-18 Ulwe,Mumbai",73.02510600000001,Dealer,85.0
89,BHK,1,5,26.86056,1,Черный,1,1,0,4,1710.2615690000002,"Uttardhauna,Lucknow",80.91583,Owner,51.0
90,BHK,1,5,19.05871,1,Черный,0,1,1,1,418.9066536,"Chembur (East),Lalitpur",72.89969,Dealer,120.0
91,BHK,0,4,12.91,2,Фиолетовый,0,1,1,3,1689.5969100000002,"HSR Layout,Bangalore",77.64,Dealer,140.0
92,BHK,1,4,27.231058,2,Черный,0,1,1,2,1250.0,"Dayal Bagh,Agra",78.005424,Owner,40.5
93,BHK,0,0,18.670894,0,Оранжевый,0,1,1,2,675.9761629,"Sudarshan Nagar,Pune",73.801891,Dealer,76.0
94,BHK,1,2,19.249861,1,Розовый,1,0,0,3,955.0396709,"Kolshet Road,Mumbai",72.96386600000001,Dealer,130.0
95,BHK,1,0,28.576117,1,Белый,0,1,1,2,1370.0,"Sector-75 Noida,Noida",77.382136,Dealer,82.2
96,BHK,0,1,12.96991,0,Желтый,0,1,1,2,985.0651414,"Banashankari,Bangalore",77.59796,Dealer,62.0
97,BHK,0,1,28.66667,1,Фиолетовый,0,1,1,4,2500.0,"Ramprastha,Ghaziabad",77.41667,Owner,160.0
98,BHK,1,1,28.743724,3,Фиолетовый,0,1,1,3,870.0466661,"Ghodbunder Road,Mumbai",76.81131500000001,Dealer,110.0
99,BHK,0,2,13.010398,0,Золотистый,0,1,1,2,1080.40201,"Dommasandra,Bangalore",77.741046,Owner,43.0
100,BHK,0,2,26.955346,1,Серый,0,1,1,3,1448.06338,"Jhotwara,Jaipur",75.73479300000001,Dealer,32.9
101,BHK,0,0,28.5679,2,Синий,0,1,1,3,1706.72735,"Sector-50 Noida,Noida",77.3679,Dealer,120.0
102,BHK,1,5,18.5993,0,Розовый,0,1,1,2,1160.162724,"Wakad,Pune",73.7625,Dealer,77.0
103,BHK,0,5,26.784408000000003,0,Желтый,0,1,1,1,300.0,"Sector G Ashiyana,Lucknow",80.916026,Owner,18.0
104,BHK,0,0,22.519728,0,Розовый,0,1,1,2,1005.116959,"Kasba,Kolkata",88.38573000000001,Dealer,55.0
105,BHK,0,3,18.452663,1,Желтый,0,1,1,2,1150.035386,"Undri,Pune",73.93104,Dealer,65.0
106,BHK,1,7,13.152957999999998,1,Золотистый,0,1,1,3,1950.078003,"Gopalapura,Bangalore",77.426875,Dealer,250.0
107,BHK,0,0,28.583704,0,Зеленый,0,1,1,2,1065.088757,"Sector-34 Noida,Noida",77.360401,Dealer,54.0
108,BHK,1,3,13.23,3,Белый,1,0,0,1,400.0,"Devanahalli,Bangalore",77.7,Dealer,24.0
109,BHK,0,0,22.5922,2,Серый,0,1,1,3,1300.236407,"New Town,Kolkata",88.484911,Dealer,55.0
110,BHK,0,7,29.676163,0,Черный,0,1,1,2,900.090009,"Sector-6 Karnal,Karnal",77.00806,Owner,30.0
111,BHK,0,3,18.475864,0,Бежевый,0,1,1,2,1100.016923,"NIBM,Pune",73.89000899999999,Dealer,65.0
112,BHK,0,7,22.486821,1,Серебристый,0,1,1,3,1235.714286,"Maheshtala,Kolkata",88.233267,Owner,34.6
113,BHK,1,1,21.143354,1,Желтый,1,1,0,2,1309.255079,"Vesu,Surat",72.770931,Dealer,58.0
114,BHK,0,4,28.661136,3,Синий,0,1,1,2,8093.52518,"Gandhi Nagar,Ghaziabad",77.261843,Owner,45.0
115,BHK,1,2,13.055985,3,Красный,0,1,1,4,2204.120747,"Thanisandra,Bangalore",77.622157,Dealer,230.0
116,BHK,0,6,23.18,3,Белый,0,1,1,2,1169.916435,"Madhuban Apartment Chattral Highway,Kadi",72.2,Owner,21.0
117,BHK,1,7,28.536585,3,Серый,1,1,0,3,1415.09434,"Sector-110 Noida,Noida",77.383669,Owner,60.0
118,BHK,1,7,24.69028,3,Красный,1,1,0,3,1313.849041,"Khoni,Lalitpur",78.41889,Dealer,98.0
119,BHK,1,5,19.221571,3,Синий,0,0,1,2,569.3371289,"Kanjur Marg (East),Mumbai",73.042474,Dealer,140.0
120,BHK,0,5,19.014858,2,Черный,0,1,1,2,845.8873761,"Wadala East,Maharashtra",72.8662,Dealer,210.0
121,BHK,0,6,12.80009,1,Розовый,0,1,1,3,1340.206186,"Chandapura,Bangalore",77.71181999999999,Owner,52.0
122,BHK,0,1,20.322009,2,Фиолетовый,0,1,1,3,1136.115359,"Mancheswar,Bhubaneswar",85.836605,Dealer,52.0
123,BHK,0,4,19.1849,0,Зеленый,0,1,1,2,1013.333333,"Malad (West),Lalitpur",72.8347,Dealer,190.0
124,BHK,0,0,28.9196,1,Золотистый,0,1,1,4,1895.016108,"Vaibhav Khand,Ghaziabad",76.8972,Owner,100.0
125,BHK,0,1,19.283359,2,Розовый,0,1,1,2,909.0909091,"Mira Road,Maharashtra",72.864964,Dealer,75.0
126,BHK,0,3,19.038205,2,Серебристый,0,1,1,2,1130.00932,"Kharghar,Maharashtra",73.06612,Dealer,97.0
127,BHK,0,5,24.69028,0,Серый,0,1,1,3,1600.0,"Waghbil,Lalitpur",78.41889,Dealer,140.0
128,BHK,0,6,21.17,0,Розовый,0,1,1,3,1600.0,"PAL,Surat",72.83,Dealer,56.0
129,BHK,0,2,18.936048,0,Серый,0,1,1,2,530.102234,"Bhivpuri ,,Karjat",73.44707700000001,Owner,14.0
130,BHK,0,5,25.61,2,Бежевый,1,1,0,3,1420.765027,"Gola Road,Patna",85.14139,Dealer,52.0
131,BHK,0,1,28.394375,0,Розовый,0,1,1,3,2032.442748,"Sector 82 Faridabad,Faridabad",77.35722700000001,Dealer,63.9
132,BHK,0,0,20.333452,3,Коричневый,0,1,1,2,1200.0,"Damana,Bhubaneswar",85.825738,Owner,72.0
133,BHK,1,3,26.900926,1,Розовый,0,1,1,2,1078.393881,"Raj Nagar Extension,Ghaziabad",75.775927,Dealer,28.2
134,BHK,0,3,12.9657,3,Голубой,0,1,1,2,1100.0,"Brookefield,Bangalore",77.7188,Owner,55.0
135,BHK,0,2,18.52361,1,Серебристый,0,1,1,2,600.0,"Tamhini Ghat,Pune",73.84778,Owner,48.0
136,BHK,0,4,18.52361,3,Бежевый,0,1,1,4,1468.053871,"Prabhat Road,Pune",73.84778,Dealer,230.0
137,BHK,0,3,16.753034,2,Оранжевый,0,1,1,2,1100.181206,"Gannavaram,Vijayawada",80.729469,Owner,42.5
138,BHK,0,2,12.96991,1,Оранжевый,0,1,1,2,1105.040973,"Adityanagar,Bangalore",77.59796,Owner,44.5
139,BHK,1,4,26.928785,2,Зеленый,0,1,1,2,1188.888889,"Ajmer Road,Jaipur",75.828002,Dealer,32.1
140,BHK,0,2,12.96991,3,Коричневый,0,1,1,2,992.094249,"Hessarghatta,Bangalore",77.59796,Owner,64.0
141,BHK,0,4,30.697795000000003,0,Оранжевый,0,1,1,2,1800.0947420000002,"Sector-70 Mohali,Mohali",76.714722,Dealer,76.0
142,BHK,0,4,30.662283,1,Черный,1,1,0,3,2559.925529,"Zirakpur,Chandigarh",76.822397,Dealer,110.0
143,BHK,0,7,18.973908,1,Голубой,0,1,1,2,1049.901186,"Ulwe,Mumbai",73.02510600000001,Dealer,85.0
144,BHK,0,3,26.91667,0,Белый,0,1,1,3,1075.14881,"Meena Wala,Jaipur",75.86667,Owner,28.9
145,BHK,0,0,9.930471,0,Серебристый,0,1,1,2,784.9293564,"Cheranalloor,Kochi",76.271273,Owner,30.0
146,BHK,1,5,13.04034,3,Желтый,0,1,1,3,1590.36692,"Hebbal,Bangalore",77.591347,Dealer,140.0
147,BHK,0,5,22.54111,1,Розовый,0,1,1,4,3374.870197,"E M Bypass,Kolkata",88.33778000000001,Dealer,260.0
148,BHK,0,0,24.857578,3,Черный,0,1,1,3,1349.941707,"Asha Nagar,Lalitpur",79.39186,Dealer,220.0
149,BHK,0,5,19.121226,1,Желтый,0,1,1,2,998.3028851,"Vijay Nagari,Mumbai",72.880241,Dealer,100.0
150,BHK,0,4,19.1955,1,Золотистый,0,1,1,3,1165.660998,"Kandivali (East),Maharashtra",72.8728,Dealer,170.0
151,BHK,0,0,22.55,3,Красный,0,1,1,2,640.2048656000001,"Karamsad,Anand",72.9,Owner,15.0
152,BHK,0,5,22.775,1,Зеленый,0,1,1,2,1000.0,"Telco Colony,Jamshedpur",86.2528,Owner,25.0
153,BHK,0,7,28.560719,1,Серый,0,1,1,4,3141.566856,"Sector-78 Noida,Noida",77.386208,Dealer,160.0
154,BHK,0,3,22.288976,3,Серебристый,0,1,1,2,1066.350711,"Bhayli,Vadodara",73.128222,Owner,22.5
155,BHK,1,1,28.388225,0,Золотистый,0,1,1,4,2742.098427,"Sector-81 Gurgaon,Gurgaon",76.946376,Dealer,190.0
156,BHK,0,0,28.577673,0,Синий,0,1,1,2,1230.1255230000002,"Sector-74 Noida,Noida",77.389781,Owner,73.5
157,BHK,0,4,22.35962,1,Зеленый,0,1,1,1,750.1875468999999,"Vemali,Vadodara",73.187321,Owner,20.0
158,BHK,0,2,12.9958935,3,Серый,0,1,1,4,3233.970754,"Whitefield,Bangalore",77.761394,Dealer,230.0
159,BHK,0,1,12.265026,2,Голубой,0,1,1,3,1355.199135,"Srirampura,Mysore",76.62469,Dealer,75.2
160,BHK,0,4,28.2102,0,Белый,0,1,1,1,525.1641138,"Alwar Bypass Road,Bhiwadi",76.8606,Dealer,12.0
161,BHK,0,2,30.662283,3,Коричневый,0,1,1,1,649.9327656,"Zirakpur,Chandigarh",76.822397,Dealer,14.5
162,BHK,0,3,26.900926,0,Фиолетовый,0,1,1,2,1180.0219539999998,"Raj Nagar Extension,Ghaziabad",75.775927,Dealer,43.0
163,BHK,0,3,21.17,0,Золотистый,0,1,1,2,1172.727273,"Palanpur,Surat",72.83,Dealer,38.7
164,BHK,1,2,30.662283,0,Голубой,0,1,1,4,2189.160468,"Zirakpur,Chandigarh",76.822397,Dealer,82.4
165,BHK,1,1,19.245347,2,Оранжевый,0,1,1,2,977.9614325,"Kalyan (West),Lalitpur",73.124577,Dealer,71.0
166,BHK,1,0,30.662283,1,Зеленый,1,1,0,4,2326.122354,"Zirakpur,Chandigarh",76.822397,Dealer,100.0
167,BHK,0,3,19.239813,1,Бежевый,0,1,1,3,1345.054523,"Manpada,Mumbai",72.962722,Dealer,280.0
168,BHK,1,3,19.6394,0,Белый,0,1,1,2,796.9826172999999,"Mahim,Palghar",72.7256,Dealer,24.3
169,BHK,0,5,13.0511,3,Оранжевый,0,1,1,2,1234.060058,"Vadapalani,Chennai",80.2125,Owner,150.0
170,BHK,0,2,12.976741,1,Зеленый,0,1,1,3,1310.833208,"Malleshpalya,Bangalore",77.674509,Owner,87.0
171,BHK,0,4,22.54111,2,Розовый,0,1,1,2,995.0248756,"Rajarhat,Kolkata",88.33778000000001,Owner,60.0
172,BHK,0,5,28.602325,2,Красный,0,1,1,3,1424.0,"sector-121 Noida,Noida",77.40199399999999,Dealer,71.2
173,BHK,1,3,13.219742000000002,0,Серый,0,1,1,3,1468.159295,"Rachenahalli,Bangalore",76.698537,Dealer,80.0
174,BHK,0,1,28.577673,0,Бежевый,0,1,1,3,1665.03428,"Sector-74 Noida,Noida",77.389781,Dealer,85.0
175,BHK,1,0,28.576117,2,Белый,0,1,1,3,1833.333333,"Sector-75 Noida,Noida",77.382136,Dealer,110.0
176,BHK,0,5,13.138566,2,Голубой,0,1,1,2,736.0581919,"Madhavaram,Chennai",80.234522,Owner,42.5
177,BHK,0,0,18.5511925,2,Черный,1,1,0,2,1199.887069,"Eon Free Zone,Pune",73.94993649999999,Dealer,85.0
178,BHK,0,5,20.26444,3,Розовый,1,1,0,3,1365.853659,"Pandra,Bhubaneswar",85.82806,Dealer,56.0
179,BHK,0,1,18.998527,3,Серебристый,0,1,1,2,891.0891088999999,"New Panvel East,Lalitpur",73.12124200000001,Dealer,72.0
180,BHK,0,0,28.440728000000004,1,Красный,0,1,1,4,2983.870968,"Sector-54 Gurgaon,Gurgaon",77.114195,Dealer,370.0
181,BHK,0,1,28.661136,2,Синий,0,1,1,3,1400.1680199999998,"Gandhi Nagar,Ghaziabad",77.261843,Owner,50.0
182,BHK,1,0,19.1759,1,Фиолетовый,1,0,0,3,923.0275303,"Mulund (West),Lalitpur",72.9522,Dealer,230.0
183,BHK,1,2,18.96,1,Оранжевый,1,0,0,3,720.0,"Kanjur marg (west),Maharashtra",72.82,Dealer,180.0
184,BHK,0,0,12.96991,1,Розовый,0,1,1,2,1075.090969,"Kasturi Nagar,Bangalore",77.59796,Dealer,65.0
185,BHK,0,0,22.54111,1,Серый,0,1,1,4,3025.245149,"Mominpore,Kolkata",88.33778000000001,Owner,290.0
186,BHK,0,3,26.86056,0,Желтый,0,1,1,3,1250.0,"Nishat Ganj,Lucknow",80.91583,Owner,72.0
187,BHK,0,5,13.079235,0,Серебристый,0,1,1,1,600.0,"Kereguddadahalli,Bangalore",77.517166,Owner,19.5
188,BHK,0,0,11.04556,1,Красный,0,1,1,3,1385.041551,"Kalapatti,Coimbatore",77.03404,Owner,65.0
189,BHK,0,2,13.09,2,Зеленый,0,1,1,2,907.9365079,"Rajakilpakkam,Chennai",80.27,Dealer,57.2
190,BHK,0,4,22.53028,3,Розовый,0,1,1,3,2300.084336,"Alipore,Kolkata",88.33417,Dealer,300.0
191,BHK,1,2,30.662283,1,Красный,1,1,0,3,1365.433822,"Zirakpur,Chandigarh",76.822397,Dealer,58.7
192,BHK,1,7,19.139348,1,Красный,1,1,0,2,1267.323495,"Andheri (West),Mumbai",72.820458,Dealer,310.0
193,BHK,0,5,12.9407,0,Бежевый,0,1,1,2,1755.1104690000002,"Varthur,Bangalore",77.7466,Owner,85.0
194,BHK,0,1,16.243,2,Желтый,0,1,1,2,1200.0,"Nazerpet,Tenali",80.64,Owner,30.0
195,BHK,0,5,17.809233,1,Белый,1,1,0,2,1080.246914,"Srinivasa Nagar,Vizianagaram",83.365307,Owner,31.5
196,BHK,0,0,19.811319,2,Бежевый,1,1,0,2,899.9742864,"Boisar,Palghar",72.76894,Owner,35.0
197,BHK,0,5,9.994,0,Коричневый,0,1,1,3,1494.768311,"Kaloor,Kochi",76.292,Owner,80.0
198,BHK,0,0,28.743724,3,Голубой,0,1,1,2,600.0126318,"Ghodbunder Road,Mumbai",76.81131500000001,Dealer,95.0
199,BHK,0,4,13.1156,3,Голубой,0,1,1,3,1599.040576,"Anantapura,Bangalore",77.5652,Owner,80.0
200,BHK,0,7,12.988651,3,Золотистый,0,1,1,2,846.7085368999999,"Pozhichallur,Chennai",80.144044,Dealer,36.4
201,BHK,0,1,19.078305,2,Оранжевый,0,1,1,1,600.0109093,"Ghatkopar (East),Lalitpur",72.90593100000001,Owner,110.0
202,BHK,0,3,28.9196,1,Черный,0,1,1,3,1620.2742,"Ahinsa Khand 2,Ghaziabad",76.8972,Dealer,78.0
203,BHK,1,5,19.019169,3,Зеленый,0,1,1,2,1083.004564,"Sector-38 Seawoods,Mumbai",73.01408599999999,Dealer,140.0
204,BHK,0,6,30.68582,1,Коричневый,0,1,1,3,1500.150015,"Sector-68 Mohali,Mohali",76.724733,Dealer,100.0
205,BHK,1,2,28.392385,0,Зеленый,0,1,1,3,1503.081317,"Sector-69 Gurgaon,Gurgaon",77.035763,Dealer,100.0
206,BHK,0,5,26.233244,1,Синий,0,1,1,2,900.0473708999999,"Surya Mandir,Indore",78.218901,Owner,19.0
207,BHK,0,2,19.147866,1,Розовый,0,1,1,2,1000.0,"Bhandup (West),Maharashtra",72.932609,Dealer,110.0
208,BHK,0,5,14.461706,1,Серебристый,0,1,1,2,850.2772643,"Revenue Layout,Visakhapatnam",75.894216,Owner,23.0
209,BHK,0,5,21.0,0,Черный,0,1,1,1,650.1950585,"Parley Point,Surat",77.0,Dealer,20.0
